iter	Logloss
0	0.590116566
1	0.4946344674
2	0.4126422367
3	0.3614647511
4	0.3177487136
5	0.2947488946
6	0.2781748424
7	0.2607523845
8	0.2479206256
9	0.2376631941
10	0.2263245336
11	0.2171890817
12	0.2115975915
13	0.2060888504
14	0.2017209721
15	0.1972138721
16	0.1949198311
17	0.1910437278
18	0.1871296096
19	0.1845707397
20	0.1826273998
21	0.1802171866
22	0.1787817983
23	0.1776534134
24	0.1754892131
25	0.1748090644
26	0.1732258792
27	0.171941132
28	0.1708501107
29	0.1703468092
30	0.1691673545
31	0.1689251685
32	0.1679216624
33	0.1671066069
34	0.1666643788
35	0.1658548661
36	0.1650740998
37	0.1647775969
38	0.1639514079
39	0.1636706471
40	0.1629101142
41	0.1625833371
42	0.1616639246
43	0.1608368731
44	0.1606395358
45	0.1603590625
46	0.1599359627
47	0.1597040037
48	0.1595447108
49	0.1592126069
50	0.1590614913
51	0.1586983812
52	0.1583904651
53	0.1582850528
54	0.1576778189
55	0.1572949142
56	0.1571598961
57	0.1567514363
58	0.1565107952
59	0.1563752103
60	0.1560488003
61	0.1552683729
62	0.1542796549
63	0.1541344136
64	0.1539521463
65	0.1533017345
66	0.1530589634
67	0.1528920058
68	0.1527196731
69	0.1526008625
70	0.1523247376
71	0.1521729103
72	0.152012314
73	0.1519109902
74	0.1516699706
75	0.1514238765
76	0.1513006974
77	0.1511660969
78	0.1510475137
79	0.1508780253
80	0.1507527424
81	0.1505346827
82	0.1502386097
83	0.1496041635
84	0.1494479201
85	0.1492909343
86	0.1491852946
87	0.1489650176
88	0.1488006618
89	0.1486467484
90	0.148504116
91	0.1483206711
92	0.1481422282
93	0.1479728241
94	0.1477816719
95	0.1476307177
96	0.147493758
97	0.147322454
98	0.1471454905
99	0.1469904979
100	0.1468480505
101	0.1466944473
102	0.1465176713
103	0.1463517289
104	0.1461963716
105	0.1460211793
106	0.1458642463
107	0.1457191368
108	0.1455571133
109	0.1454079022
110	0.1452475195
111	0.145082426
112	0.1449410525
113	0.1447990767
114	0.1446584945
115	0.1445163016
116	0.1443532682
117	0.1442155989
118	0.1440778975
119	0.1439415077
120	0.1438047047
121	0.1436691137
122	0.1435032052
123	0.1433584494
124	0.1432283076
125	0.1430963345
126	0.1429631245
127	0.1428121418
128	0.1426823815
129	0.1425553123
130	0.1424288714
131	0.1415618329
132	0.1414347103
133	0.1413085224
134	0.1411840239
135	0.1410325923
136	0.1409084109
137	0.1407852733
138	0.1406635911
139	0.1405434425
140	0.1404236925
141	0.1403044408
142	0.1401867532
143	0.1400413999
144	0.1399247537
145	0.1398081697
146	0.1396918166
147	0.1395759591
148	0.1394610438
149	0.139346793
150	0.1392332636
151	0.1391201656
152	0.1390071247
153	0.1388952025
154	0.1387841638
155	0.1386738719
156	0.1385634669
157	0.1384536936
158	0.1383444422
159	0.1382358274
160	0.1375060212
161	0.1373962704
162	0.1372510209
163	0.1371420671
164	0.1370335384
165	0.1369262704
166	0.1368197614
167	0.1367136344
168	0.1366081277
169	0.1364672419
170	0.1363623784
171	0.1362579687
172	0.1361539698
173	0.1360503102
174	0.1359471263
175	0.1358441666
176	0.1357414402
177	0.1356389596
178	0.1355367716
179	0.1354349546
180	0.1353334636
181	0.1352323172
182	0.1351316835
183	0.1350314388
184	0.134897494
185	0.1347977851
186	0.1340022526
187	0.1339017801
188	0.1338025069
189	0.1337037481
190	0.1336054072
191	0.1335075944
192	0.1334101201
193	0.1333130234
194	0.1332161982
195	0.1331199604
196	0.1330240511
197	0.1329283284
198	0.1328326311
199	0.1327372953
200	0.1326421155
201	0.1315310897
202	0.1314340936
203	0.1313390823
204	0.1312446624
205	0.13111621
206	0.1310223169
207	0.1309287828
208	0.1308354092
209	0.1307423799
210	0.1306497706
211	0.1305577142
212	0.1304658529
213	0.1298191067
214	0.1297248784
215	0.1296327929
216	0.1295410645
