iter	Passed	Remaining
0	28	11499
1	58	11662
2	86	11469
3	113	11211
4	142	11193
5	170	11139
6	199	11167
7	228	11182
8	258	11192
9	286	11153
10	314	11096
11	343	11086
12	374	11105
13	402	11068
14	430	11031
15	458	10977
16	487	10958
17	515	10912
18	543	10870
19	570	10812
20	599	10788
21	626	10738
22	653	10690
23	683	10679
24	713	10677
25	742	10649
26	770	10619
27	800	10609
28	829	10583
29	858	10562
30	886	10524
31	917	10520
32	946	10501
33	974	10461
34	1002	10421
35	1031	10396
36	1060	10372
37	1088	10341
38	1116	10302
39	1143	10267
40	1172	10236
41	1199	10196
42	1228	10168
43	1256	10137
44	1283	10095
45	1311	10063
46	1337	10019
47	1364	9978
48	1394	9959
49	1426	9960
50	1455	9932
51	1485	9911
52	1512	9876
53	1540	9840
54	1568	9808
55	1594	9768
56	1621	9731
57	1650	9704
58	1679	9678
59	1707	9648
60	1733	9607
61	1762	9578
62	1790	9546
63	1815	9500
64	1841	9464
65	1869	9433
66	1895	9392
67	1921	9351
68	1948	9316
69	1974	9280
70	2001	9245
71	2028	9210
72	2053	9168
73	2079	9132
74	2106	9098
75	2133	9066
76	2160	9033
77	2187	9001
78	2214	8969
79	2243	8944
80	2272	8920
81	2298	8886
82	2325	8851
83	2351	8817
84	2377	8782
85	2404	8750
86	2429	8712
87	2456	8681
88	2482	8645
89	2508	8613
90	2536	8584
91	2561	8546
92	2587	8513
93	2613	8479
94	2639	8447
95	2666	8417
96	2693	8386
97	2720	8355
98	2748	8328
99	2776	8300
100	2806	8280
101	2835	8256
102	2863	8228
103	2891	8203
104	2920	8178
105	2952	8162
106	2984	8145
107	3012	8118
108	3039	8087
109	3066	8055
110	3092	8024
111	3121	7997
112	3149	7971
113	3177	7943
114	3204	7913
115	3231	7884
116	3257	7852
117	3286	7826
118	3311	7792
119	3340	7767
120	3367	7736
121	3394	7706
122	3421	7676
123	3447	7645
124	3474	7615
125	3501	7587
126	3529	7559
127	3556	7530
128	3583	7501
129	3610	7470
130	3637	7440
131	3666	7416
132	3696	7393
133	3723	7364
134	3752	7338
135	3781	7311
136	3808	7282
137	3837	7258
138	3865	7230
139	3893	7202
140	3920	7172
141	3947	7144
142	3978	7121
143	4007	7096
144	4041	7080
145	4068	7051
146	4097	7024
147	4129	7004
148	4158	6977
149	4194	6962
150	4225	6940
151	4255	6915
152	4284	6889
153	4316	6867
154	4344	6838
155	4371	6809
156	4398	6779
157	4424	6749
158	4451	6719
159	4478	6689
160	4506	6661
161	4534	6633
162	4561	6604
163	4588	6575
164	4616	6546
165	4642	6516
166	4671	6489
167	4698	6459
168	4724	6430
169	4753	6403
170	4780	6374
171	4808	6345
172	4836	6317
173	4862	6287
174	4887	6256
175	4915	6228
176	4942	6199
177	4970	6171
178	4997	6142
179	5023	6111
180	5050	6083
181	5079	6055
182	5106	6027
183	5134	5999
184	5162	5971
185	5190	5943
186	5217	5915
187	5243	5885
188	5270	5856
189	5299	5828
190	5325	5799
191	5353	5771
192	5382	5744
193	5411	5717
194	5438	5689
195	5465	5660
196	5494	5634
197	5522	5606
198	5550	5578
199	5580	5552
200	5608	5525
201	5635	5495
202	5662	5467
203	5689	5438
204	5714	5407
205	5740	5378
206	5766	5348
207	5793	5319
208	5819	5290
209	5844	5260
210	5870	5230
211	5896	5201
212	5923	5172
213	5949	5142
214	5974	5113
215	6001	5084
216	6029	5056
217	6057	5029
218	6084	5000
219	6112	4973
220	6140	4945
221	6167	4916
222	6195	4889
223	6224	4863
224	6253	4836
225	6282	4809
226	6310	4781
227	6337	4753
228	6366	4726
229	6395	4699
230	6423	4671
231	6452	4644
232	6480	4617
233	6510	4590
234	6541	4564
235	6569	4537
236	6596	4508
237	6622	4480
238	6649	4451
239	6676	4422
240	6702	4394
241	6728	4365
242	6753	4335
243	6780	4307
244	6808	4279
245	6834	4250
246	6860	4221
247	6885	4192
248	6911	4163
249	6938	4135
250	6964	4106
251	6991	4078
252	7015	4048
253	7044	4021
254	7072	3993
255	7097	3964
256	7123	3936
257	7150	3907
258	7177	3879
259	7203	3851
260	7229	3822
261	7255	3793
262	7281	3765
263	7307	3736
264	7334	3708
265	7362	3681
266	7388	3652
267	7416	3625
268	7444	3597
269	7473	3570
270	7502	3543
271	7530	3516
272	7558	3488
273	7584	3459
274	7609	3431
275	7657	3412
276	7694	3388
277	7720	3360
278	7746	3331
279	7773	3303
280	7798	3274
281	7823	3246
282	7849	3217
283	7875	3188
284	7900	3160
285	7925	3131
286	7950	3102
287	7976	3074
288	8002	3046
289	8028	3017
